序号,部位,分区序号,相机姿态,是否镜像,区域,参数特征名称,程度形容词,特征ID,备注
,,,,,,9.眉间纹,有/无,p3_005_011,
五,颞部  (玫红加粗:颞部重复),1.颞部,215.54013_28.277254_203.55655_0.03411788_-0.7372979_0.0,1315.6-660.4-344.8-377.1,452-171-237-271,1.额颞容积,对称/不对称,p1_14_001,
,,,,,,2.颞部宽窄,宽/窄,p2_002_001,
,,,,,,3.眉尾宽度,宽/窄,p2_002_002,
,,,,,,4.颞部饱满度,凹陷,p2_002_004,
,,,,,,6.天仓饱满度,凹陷,p2_002_008,
,,2.太阳穴,,1321-902-79-75,528.8-397.5-59.4-60.4,5.太阳穴饱满度,凹陷,p2_002_006,
六,颧部,1.颧部,164.10068_-3.3739913_239.84988_0.05782587_-0.5611081_0.0,1,,1.颧颊容积,对称/不对称,p1_14_002,
,,2.颧弓,,1394.5-1000-180-133,548.6-431.1-111.2-88.9,2.颧弓凸,有/无,p2_005_001,
,,3.颧骨,,1215.05-988-199.45-179.5,441.7-410.8-131.4-149.7,3.颧骨凸,有/无,p2_005_002,
,,,,,,4.蒙古沟,有/无,p2_005_003,
七,内面颊(黄色加粗:苹果肌重复)  (黄色加粗:苹果肌重复),1.内面颊,192.08662_-4.454481_190.54073_0.09725157_-0.7111378_0.0,1128.5-1177-121.5-98.5,440.8-570.3-95.2-109.1,1.内面颊饱满度,消瘦/肥厚,p2_006_003,
,,,,,,2.内面颊下垂度,下垂,p2_006_006,
,,,,,,3.颊脂垫肥厚,肥厚,p2_006_007,
,,,,,,4.内面颊紧致度,松弛,p2_006_004,
八,外面颊,1.外面颊,192.08662_-4.454481_190.54073_0.09725157_-0.7111378_0.0,1231.5-1127-316.5-139,518-484.1-131-145,1.外面颊饱满度,消瘦/肥厚,p2_007_001,
,,,,,,2.外面颊肥厚,肥厚,p2_007_002,
,,,,,,3.外面颊下垂,下垂,p2_007_003,
,,,,,,4.外面颊紧致度,松弛,p2_007_008,
九,苹果肌(黄色加粗:苹果肌重复)  (黄色加粗:苹果肌重复),1.苹果肌,164.10068_-3.3739913_239.84988_0.05782587_-0.5611081_0.0,1111-1065.5-108-107.5,390.8-489-116.8-120,1.苹果肌饱满度,消瘦/肥厚,p2_008_001,
,,,,,,2.苹果肌下垂度,下垂,p2_008_003,
十,唇部,1.唇部全局,7.8204184_-21.252909_269.09143_0.13266492_-0.015063992_0.0,0,,,,,
,,2.人中,,0,315-586.4-23-47.6,2.人中长短,长/短,p2_009_001,
,,,,,,4.上白唇丰满度,瘪,p2_009_005,
,,3.唇角,,1096.95-1222.75-29.65-27.2,397.4-640-41.6-49.7,5.唇仰角,下垂/上扬,p2_009_007,
,,,,,,6.嘴角上扬度,下垂,p2_009_017,
,,,,,,7.唇角饱满度,凹陷,p2_009_020,
,,4.上唇,,0,293-631.9-116-23.8,6.上唇厚度,厚/薄,p2_009_009,
,,,,,,8.唇珠饱满度,缺失,p2_009_011,
,,,,,,10.天包地,有/无,p2_009_014,
,,,,,,15.上唇饱满度,不饱满,p2_009_018,
,,,,,,11.唇纹,有/无,p2_009_015,
,,,,,,12.唇凸度,凸,p2_009_006,
,,,,,,1.嘴巴歪斜,歪/不歪斜,p1_14_006,
,,,,,,3.嘴巴大小,大/小,p2_009_003,
,,,,,,13.唇线清晰度,模糊,p2_009_016,
,,5.下唇,,0,295-656-114-39,7.下唇厚度,厚/薄,p2_009_010,
,,,,,,9.地包天,有/无,p2_009_013,
,,,,,,16.下唇饱满度,不饱满,p2_009_019,
,,,,,,颏唇沟,,,
,,,,,,11.唇纹,有/无,p2_009_015,
,,,,,,12.唇凸度,凸,p2_009_006,
,,,,,,1.嘴巴歪斜,歪/不歪斜,p1_14_006,
,,,,,,3.嘴巴大小,大/小,p2_009_003,
,,,,,,13.唇线清晰度,模糊,p2_009_016,
十一,下颌  (深绿加粗:下颌重复),1.下颌,195.3186_-44.5551_232.19931_0.044194125_-0.70366395_0.0,1093.5-1211-468-225,466.8-567.9-173.2-190.8,1.颌颏容积,对称/不对称,p1_14_003,
,,,,,,2.下颌形态,方/圆/V,p2_010_001,
,,,,,,3.咬肌肥大,肥大,p2_010_002,
,,,,,,4.下颌宽度,宽/窄,p2_010_003,
,,,,,,7.下颌缘清晰度,肥厚,p2_010_008,
,,,,,,8.羊腮,有/无,p2_010_009,
,,,,,,颏唇沟,,,
十二,下颏 （粉色加粗：面部重复）,1.下颏,104.70226_-63.53861_203.77608_0.022726942_-0.60178345_0.0,0,298.9-697.7-167.8-82.3,1.下颏长度,长/短,p2_012_001,
,,,,,,2.下颏对称性,对称/不对称,p2_012_002,
,,,,,,3.下颏厚度,厚/薄,p2_012_005,
,,,,,,4.下颏形态,尖/方/圆,p2_012_007,
,,,,,,5.下颏高度,翘/后缩,p2_012_012,
,,,,,,6.木偶纹,有/无,p2_012_014,
,,,,,,5.左地库饱满,消瘦,p2_010_005,
,,,,,,6.右地库饱满,消瘦,p2_010_007,
十三,颈颌部(深绿加粗:下颌重复),1.颈颌部,104.70226_-63.53861_203.77608_0.022726942_-0.60178345_0.0,0,405-659-278-216,1.颈颌肥厚,肥厚,p2_013_001,
,,,,,,2.颈纹,有/无,p2_013_002,
,,,,,,8.羊腮,有/无,p2_010_009,
,,,,,,7.下颌缘清晰度,肥厚,p2_010_008,
十四,眉部,1.眉,1.7544065_38.52762_276.70624_0.06316736_0.007673984_0.0,1085.5-875.5-249-64.1,346.1-351.7-158.9-39.4,1.眉毛歪斜,歪/不歪斜,p1_14_005,
,,,,,,2.眉下垂,下垂,p3_006_002,
,,,,,,3.眉毛稀疏,有/无,p1_14_009,系统需要添加此参数，余婷已添加
,,,,,,31.眉仰角,下垂/上扬,p3_006_002,
,,,,,,30.眉弓高度,高/低,p2_003_036,
,,,,,,3.眉尾宽度,宽/窄,p2_002_002,
